"user.id","purchase.date","purchase.count"
"52abe5d9b6a88e9514d34203",2013-12-14,1
"524ed29db6a88e9514ab256c",2013-10-08,2
"524ed29db6a88e9514ab256c",2013-10-10,1
"524ed29db6a88e9514ab256c",2013-10-18,1
"524ed29db6a88e9514ab256c",2013-11-06,1
"52b4b2e1b6a88e9514d7f478",2013-12-20,1
"52b4b2e1b6a88e9514d7f478",2014-02-23,1
"5265af8ab6a88e9514b17893",2013-10-21,2
"5265af8ab6a88e9514b17893",2013-10-22,1
"52ae706eb6a88e9514d49ba9",2013-12-16,1
"527922d7b6a88e9514b73cee",2013-11-06,2
"527922d7b6a88e9514b73cee",2013-11-07,1
"527922d7b6a88e9514b73cee",2014-02-18,1
"52a0a140b6a88e9514cc17a7",2013-12-05,2
"52a0a140b6a88e9514cc17a7",2013-12-09,1
"51de0d3c217c626224b16179",2013-07-11,3
"51de0d3c217c626224b16179",2013-07-16,3
"51de0d3c217c626224b16179",2014-04-04,1
"533dcc604efa972750f5a0a2",2014-04-03,1
"5332378f4efa972750f4174a",2014-03-26,1
"5332378f4efa972750f4174a",2014-03-28,1
"5332378f4efa972750f4174a",2014-04-09,1
"52ad05dbb6a88e9514d3cdcd",2013-12-15,1
"528f6d84b6a88e9514c5a01e",2013-12-12,2
"52fef2ccb6a88e9514eb0f3f",2014-03-12,1
"52e699e2b6a88e9514e21247",2014-01-27,1
"52e699e2b6a88e9514e21247",2014-01-29,1
"5356f6514efa972750f891ce",2014-04-22,1
"535ab2584efa972750f8f5b4",2014-04-25,1
"52746c8ab6a88e9514b5ab39",2013-11-28,2
"52746c8ab6a88e9514b5ab39",2013-11-29,1
"52746c8ab6a88e9514b5ab39",2013-12-05,2
"52746c8ab6a88e9514b5ab39",2013-12-08,2
"52746c8ab6a88e9514b5ab39",2013-12-09,1
"526a79edb6a88e9514b2a036",2013-10-25,3
"527443f8b6a88e9514b5a150",2013-12-02,2
"527443f8b6a88e9514b5a150",2013-12-05,1
"52044509217c626224bec8ae",2013-08-09,3
"52044509217c626224bec8ae",2014-03-04,1
"52b2668ab6a88e9514d6d1f7",2013-12-19,1
"51e5c017217c626224b44881",2013-07-17,2
"51e5c017217c626224b44881",2013-07-18,1
"51f9cff2217c626224bb7769",2013-11-24,2
"51f9cff2217c626224bb7769",2013-11-25,1
"5317d9884efa972750e87c0d",2014-03-06,1
"52487ca3b6a88e9514a93d07",2013-09-29,2
"52487ca3b6a88e9514a93d07",2013-09-30,1
"52562f44b6a88e9514aca80d",2013-10-10,2
"52562f44b6a88e9514aca80d",2013-10-11,1
"52af1bf3b6a88e9514d51130",2013-12-16,1
"529ca76db6a88e9514caf18f",2013-12-02,2
"529ca76db6a88e9514caf18f",2013-12-05,1
"52e7cd64b6a88e9514e2217e",2014-01-28,1
"5297cb67b6a88e9514c9e8e9",2013-11-28,2
"5297cb67b6a88e9514c9e8e9",2013-12-03,1
"51d6075aca45276b3c000599",2013-07-04,1
